name,website,category,date,soruce
quantumfundsgroup.net,quantumfundsgroup.net,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,07/11/23,amf
oneglobal-advr.com,oneglobal-advr.com,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,07/11/23,amf
activefinancial.trade,activefinancial.trade,FOREX,07/11/23,amf
www.rivegarde.com,www.rivegarde.com,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,07/11/23,amf
www.bitget.com,www.bitget.com,CRYPTO-ACTIFS,07/11/23,amf
success26inv.com,success26inv.com,FOREX,07/11/23,amf
financiereclairac.com,financiereclairac.com,BIENS DIVERS / VIN,07/11/23,amf
aix-investments.com,aix-investments.com,AUTRE ACTEUR NON AUTORISÉ,07/11/23,amf
innovationtrdng.com,innovationtrdng.com,AUTRE ACTEUR NON AUTORISÉ,02/11/23,amf
capitalnvst.com,capitalnvst.com,AUTRE ACTEUR NON AUTORISÉ,02/11/23,amf
www.abotsmartcontracts.com,www.abotsmartcontracts.com,CRYPTO-ACTIFS,02/11/23,amf
the-ethereumcode-pro.com,the-ethereumcode-pro.com,CRYPTO-ACTIFS,02/11/23,amf
morganglobal-pro.com,morganglobal-pro.com,CRYPTO-ACTIFS,02/11/23,amf
bekakra.fr,bekakra.fr,USURPATION AMF,02/11/23,amf
mindsetinv.fr,mindsetinv.fr,USURPATION AMF,02/11/23,amf
brown-fin.com,brown-fin.com,FOREX,02/11/23,amf
gestiondupatrimoine.net,gestiondupatrimoine.net,FOREX,02/11/23,amf
akselinvest.pro,akselinvest.pro,FOREX,02/11/23,amf
www.morgencharles.business,www.morgencharles.business,FOREX,02/11/23,amf
sallixcapital.com,sallixcapital.com,FOREX,02/11/23,amf
www.ellandroadcapital.com,www.ellandroadcapital.com,FOREX,02/11/23,amf
malinsplacements.fr/or,malinsplacements.fr/or,BIENS DIVERS / OR,02/11/23,amf
elitetrader.io,elitetrader.io,PRODUITS DÉRIVÉS SUR CRYPTO-ACTIFS,02/11/23,amf
prénom.nom@quaerocapital.pro,prénom.nom@quaerocapital.pro,USURPATION,23/10/23,amf
quaerocapital.pro,quaerocapital.pro,USURPATION,23/10/23,amf
info@amf-france.cc,info@amf-france.cc,USURPATION AMF,23/10/23,amf
prénom.nom@guardianinvest.co,prénom.nom@guardianinvest.co,USURPATION AMF,12/10/23,amf
byou360invest.com,byou360invest.com,FOREX,12/10/23,amf
atomicwallet.io,atomicwallet.io,CRYPTO-ACTIFS,12/10/23,amf
crypto-bulot.com,crypto-bulot.com,CRYPTO-ACTIFS,12/10/23,amf
quantumprimeprofit.io,quantumprimeprofit.io,CRYPTO-ACTIFS,01/09/23,amf
