category,date,name,source,website
,2023-11-15,Globalassetfirm (www.globalassetfirm.online),sfc,
,2023-11-14,Expressfxt,sfc,www.expressfxt.com
,2023-11-14,Universalgainfx,sfc,www.universalgainfx.com
,2023-11-14,Refinefxtrading.Online,sfc,www.refinefxtrading.online
,2023-11-14,Icfx Signal Premium,sfc,https://bybitforex.com/
,2023-11-14,Coin Royal / coin-royal.com,sfc,www.coin-royal.com
,2023-11-14,CRYPTO-BUNKER,sfc,www.crypto-bunker.online
,2023-11-14,FXPIPS,sfc,www.fxpips.live
,2023-11-14,CryptoInsight,sfc,www.cryptoinsightltd.com
,2023-11-14,Infinity Trust Bank,sfc,www.infinitytrustbank.com
,2023-11-14,4SeasonsFX / FourSeasonsFX,sfc,www.fourseasonsfx.com
,2023-11-15,Barclays Wealth/ www.wealth-management-services.com (Clone of FCA Authorised firms),sfc,"www.wealth-management-services.com, www.wealth-management-services.co.uk"
,2023-11-15,Bitfinex / bitfinex.com,sfc,bitfinex.com
,2023-11-15,fraudcompany.co.uk / the-fraud-company.co.uk,sfc,"www.fraudcompany.co.uk, www.the-fraud-company.co.uk"
,2023-11-14,ByBitForex,sfc,https://bybitforex.com/
,2023-11-14,GENIUS FX TRADE,sfc,www.geniusfxtrade.live
,2023-11-14,CRYPTOMETASTOCK,sfc,www.cryptometastock.com
,2023-11-14,Vitality Bank Corporation,sfc,www.vitalitybankcorporation.com
,2023-11-15,4Tradexchange,sfc,www.4tradexchange.org
,2023-11-15,Xemifxmarkets (www.xemifxmarkets.net),sfc,
,2023-11-15,Fidelis Wealth Management,sfc,https://fwm-lmtd.com
,2023-11-15,Clear Path Insolvency Limited,sfc,https://cpinsolvency.co.uk
,2023-11-15,Citibank/ Citigrps (Clone of FCA Authorised firm),sfc,https://citionlineservice.com/
,2023-11-13,Cryptoearningprofit,sfc,https://www.cryptoearningprofit.com/
,2023-11-13,ICT Market 24 / ictmarket24.com (Clone of FCA Authorised Firm),sfc,https://ictmarket24.com/
,2023-11-13,HerosFX,sfc,https://herosfx.com/
,2023-11-13,quaerocapital.pro / quaerocapital.trade (Clone of FCA Authorised Firm),sfc,"https://quaerocapital.pro/, https://quaerocapital.trade/"
,2023-11-13,kriptstamp.com,sfc,https://kriptstamp.com/
,2023-11-13,Azura Capital,sfc,www.azura-cap.net
,2023-11-13,CUENA FX,sfc,www.cuenafx.com
,2023-11-13,VINTAGE GLOBAL INVESTMENT,sfc,www.vintageglobalinvestment.com
,2023-11-13,XINLIMITED.COM,sfc,www.xinlimited.com
,2023-11-14,Oceanicearners,sfc,www.oceanicearners.com
,2023-11-13,BTCMAXMINERS,sfc,www.btcmaxminers.com
,2023-11-13,The FluentMoney / Fluent Money Loan Lenders (Clone of FCA Authorised Firm),sfc,
,2023-11-13,OKFX,sfc,www.okfx.online
,2023-11-13,ENCOREFX GLOBAL,sfc,www.encorefxglobal.com
,2023-11-14,BTSE,sfc,BTSE / www.btse.com
,2023-11-14,City Money Bank / City Money Finance,sfc,https://citymoneyfinance.com/
,2023-11-14,"Exodus Movement, Inc. / https://www.exodus.com/",sfc,https://www.exodus.com/
