category,date,name,source,website
 Impersonators of Genuine Firms ,,12 West Capital Management,sec,http//www.12-wcm.com
Enforcement,,Apex Options,sec,Feb.
Enforcement,,Apex376 Partners LLC,sec,www.apex376partners.com
 Unregistered Soliciting Entities ,,"Anoli Capital International, Inc.",sec,http//www.anolicap.com/
Enforcement,,Angle Financial Solutions,sec,www.anglefinsol.com
Enforcement,,Apex Global Finance,sec,https//apexglobalf.com
Enforcement,,Angle Financial Solutions,sec,Feb.
 Unregistered Soliciting Entities ,,"Anderson, Franklin, Sullivan Partners Ltd., a.k.a. AFS Partners Ltd.",sec,http//afspartners.net/
 Unregistered Soliciting Entities ,,Anderson & Scott LLP,sec,www.andersonscottlaw.com
 Unregistered Soliciting Entities ,,AMK Trust Ltd.,sec,http//www.amktrust.com/
 Unregistered Soliciting Entities ,,Andersen Mergers,sec,http//www.andersenmergers.com/
 Impersonators of Genuine Firms ,,Apex Stock Transfer Inc.,sec,http//www.apexstinc.com/
Enforcement,,Zenprofx,sec,https//zenprofx.com
 Unregistered Soliciting Entities ,,Zenithmine,sec,https//zenithmine.net
Enforcement,,Amex-Financials,sec,www.amex-financials.com/p/view
Enforcement,,Zilton Capital,sec,http//www.ziltoncapital.com
Enforcement,,Zahamax,sec,https//zahamax.com
 Unregistered Soliciting Entities ,,Zenith Research Group,sec,http//www.zenithresearchgroup.com/
 Unregistered Soliciting Entities ,,Young Capital M&A,sec,http//www.youngcapitalma.com
 Unregistered Soliciting Entities ,,York & Williamson,sec,http//www.yorkandwilliamson.com/#
Enforcement,,Xpressmarketfx,sec,https//xpressmarketfx.com
Enforcement,,Zeus Financial Trades,sec,https//zeusfinancialtrades.com
Enforcement,,Yagifxtradeoption,sec,https//yagifxtradeoption.com/
 Impersonators of Genuine Firms ,,X-Clearing Corporation,sec,http//www.xclr.com/
Enforcement,,Xcryptodoubler,sec,https//www.xcrptodoubler.online/home
Enforcement,,xBT360 Mining,sec,www.xbt360mining.com
 Impersonators of Genuine Firms ,,Worldwide Transfer and Trust,sec,http//worldwidetransfertrust.com/
 Unregistered Soliciting Entities ,,Worldwide Insurance Network Group (aka WING Insurance),sec,www.winginsurance.com
 Unregistered Soliciting Entities ,,Wyatt M & A Advisory,sec,http//wyattmaadvisors.com/
 Impersonators of Genuine Firms ,,"Woori Investment & Securities America, Inc.",sec,http//woori-isa.com/
 Unregistered Soliciting Entities ,,Wineburg Corporate Insurance,sec,http//wineburgcorporate.com/
 Unregistered Soliciting Entities ,,"Windcrest Management Solution, Ltd.",sec,http//windcrestmgtsolution.com/
Enforcement,,Willow Stream Capital,sec,Feb.
 Unregistered Soliciting Entities ,,Willkinson Capital Group,sec,http//willkinsoncapital.com/
Enforcement,,Worldwide Regulators Board,sec,http//www.wregboard.com
 Unregistered Soliciting Entities ,,Williams Mckenna Associates,sec,http//www.williamsmckenna.com
 Unregistered Soliciting Entities ,,William Campbell Company,sec,http//williamcampbellcompany.com/
 Unregistered Soliciting Entities ,,Whitman Law Group,sec,July
 Unregistered Soliciting Entities ,,Westgate Consulting Group,sec,http//www.westgateconsultinggrp.com
 Unregistered Soliciting Entities ,,"Westhill Partners, Inc.",sec,http//westhillpartners.us
