category,date,name,source,website
Fake regulators and/or market operators,2023-11-15,"Hong Kong Enterprise Exchange Exhibition Center Co., Ltd.",sfc,http://www.hktxotc.com/
Suspicious virtual asset trading platforms,2022-07-08,JP-EX Crypto Asset Platform Pty Ltd,sfc,https://jp-ex.io/
Suspicious websites,2022-07-12,FTSFX,sfc,www.ftsfx.net
Unlicensed entities,2022-07-21,R&Y Limited,sfc,www.r-yltd.com
Suspicious websites,2022-08-02,https://tc.youliyi.com/gang/hermes/,sfc,https://tc.youliyi.com/gang/hermes/
Unlicensed entities,2022-07-08,Anchgo Limited,sfc,www.anchgogrouphk.com
Unlicensed entities,2022-05-30,DC Witter Group,sfc,www.dcwittergroup.com
Suspicious websites,2022-05-30,www.kunluncoin.com,sfc,www.kunluncoin.com
Unlicensed entities,2022-06-23,"Great Wisdom International Co,.Ltd",sfc,https://lgkgfjt.cn
Unlicensed entities,2022-06-13,"MIT Investment and Trading (HK) Co., Ltd / Myiteng Investment Trading (HK) Co. Ltd / Miyiteng Investment & Trading (HK) Co., Ltd",sfc,www.mit-invest.com
Unlicensed entities,2022-05-30,Van Gordon Management,sfc,www.vangordonmanagement.com
Unlicensed entities,2022-08-03,Edeal Markets LLC,sfc,www.fxedeal.com
Unlicensed entities,2022-08-08,HeHuan Global Limited,sfc,www.hehuanfx.com
Unlicensed entities,2022-06-29,Feng Hong Internationality,sfc,http://fenghonginternationality.com
Unlicensed entities,2022-08-11,Nardo Global Limited / Cang Limited,sfc,https://nardo-fx.com
Unlicensed entities,2022-08-15,DingHui International Limited,sfc,www.dinghuitrader.com
Unlicensed entities,,Eastleigh International Limited,sfc,
Unlicensed entities,,Sigama Capital Management,sfc,
Unlicensed entities,2000-11-02,Hudson International Group Limited,sfc,-
Unlicensed entities,,Dreyfus Capital,sfc,
Unlicensed entities,,The Brinton Group,sfc,
Unlicensed entities,,The Kensington Group Limited,sfc,
Unlicensed entities,,Global Oriental,sfc,
Unlicensed entities,,Oasis Resorts International,sfc,
Unlicensed entities,,Fisher Sterling International Limited,sfc,
Unlicensed entities,,Benson Dupont Capital Management Inc,sfc,
Unlicensed entities,,Transglobal Consultants Limited,sfc,
Unlicensed entities,,"International Asset Management Co, Ltd",sfc,
Unlicensed entities,,Fortune International Limited,sfc,
Unlicensed entities,,SCMART International Limited,sfc,
Unlicensed entities,,Banque Gerrarde Limited,sfc,
Unlicensed entities,,Wizard Asset Management Limited,sfc,
Unlicensed entities,,Berkeley Samson International,sfc,
Unlicensed entities,,The Pembridge Group,sfc,
Unlicensed entities,,Allied Pacific Ventures Ltd,sfc,
Unlicensed entities,,Asia United International Ltd,sfc,
Unlicensed entities,,Gimbel Rothschild,sfc,
Unlicensed entities,,Morgan Pacific,sfc,
Unlicensed entities,,Kearns Investments Inc,sfc,
Unlicensed entities,,Liberty Capital International Limited,sfc,
Unlicensed entities,,Berlin Overseas Corporation,sfc,
Unlicensed entities,,"Simmons, Blake and Fritch",sfc,
Unlicensed entities,,Global Surveys,sfc,
Unlicensed entities,,e.go Trade Incorporated,sfc,
Unlicensed entities,,US Trading Associates Co Ltd,sfc,
Unlicensed entities,,Royce Stanford Management Inc,sfc,
Unlicensed entities,,Morrison Cross Financial Investments Ltd,sfc,
Unlicensed entities,,Equity-1 Limited,sfc,
Unlicensed entities,,Allied International Investment Limited,sfc,
Unlicensed entities,,Financial Securities International Ltd,sfc,
Unlicensed entities,,Global Option Trading Co Ltd,sfc,
Unlicensed entities,,Foreign Currency International,sfc,
Unlicensed entities,,The Clearing House Group,sfc,
Unlicensed entities,,Imperial Asset Management Limited,sfc,
Unlicensed entities,,Western & Gulf Finance Corporation Limited,sfc,
Unlicensed entities,,Westway Investments Limited,sfc,
Unlicensed entities,,Cogan Davis Associates Limited,sfc,
Unlicensed entities,,"Cabrini Green & Ross, Inc",sfc,
Unlicensed entities,,Wall Street Underground,sfc,
Unlicensed entities,,The Georgian Group Ltd,sfc,
Unlicensed entities,,"Asia United Capital & Partners, Co Ltd",sfc,
Unlicensed entities,,Vantage International Management Inc,sfc,
Unlicensed entities,,Vantage International Management Group Inc,sfc,
Unlicensed entities,,The Madison Group,sfc,
Unlicensed entities,,Gerrarde Financial Group Limited,sfc,
Unlicensed entities,,The Madina Capital Group,sfc,
Unlicensed entities,,First Chartered Capital,sfc,
Unlicensed entities,,Pfeiffer Galland Limited,sfc,
Unlicensed entities,,Crawford Peale Inc,sfc,
Unlicensed entities,,Sherman Brothers Management Ltd,sfc,
Unlicensed entities,,"Avid Investor, Inc",sfc,
Unlicensed entities,,Central Capital Inc,sfc,
Unlicensed entities,,Abacus Group Ltd,sfc,
Unlicensed entities,,A G Securities Limited,sfc,
Unlicensed entities,,KRD Europe Management LLC,sfc,
Unlicensed entities,,Commodity and Currency Global Co Ltd,sfc,
Unlicensed entities,,Foreign Trade International,sfc,
Unlicensed entities,,Parkside Investments Limited,sfc,
Unlicensed entities,,Chartered Asset Management,sfc,
Unlicensed entities,,Platinum Investment Services Ltd,sfc,
Unlicensed entities,,Smythe Rutherford & Burns PLC,sfc,
Unlicensed entities,,Clanvale Securities,sfc,
Unlicensed entities,,United Capital Management Inc,sfc,
Unlicensed entities,,Uniworld Global Management Limited,sfc,
Unlicensed entities,,Harper Mills and Paige Inc,sfc,
Unlicensed entities,,Rockwell & Bond S A,sfc,
Unlicensed entities,,MultiWeb Media Corporation,sfc,
Unlicensed entities,,Millennium Financial Ltd,sfc,
Unlicensed entities,,Zurich Investment Group Ltd,sfc,
Unlicensed entities,,Park International,sfc,
Unlicensed entities,,Preston Morgan & Associates,sfc,
Unlicensed entities,,Primrose Trading Company Limited,sfc,
Unlicensed entities,,Merit Capital Group,sfc,
Unlicensed entities,,ITB Limited,sfc,
Unlicensed entities,,Our World Exchange Limited,sfc,
Unlicensed entities,,Laverty Assets Limited,sfc,
Unlicensed entities,,Austral European Kft,sfc,
Unlicensed entities,,Waterman and Noble,sfc,
Unlicensed entities,,"Martinez & Mannheim, S.A.",sfc,
Unlicensed entities,,Wells International Investments Ltd,sfc,
Unlicensed entities,,Bowen Reece,sfc,
Unlicensed entities,,Huge Forex Investments Ltd,sfc,
Unlicensed entities,,Sukumo Group Japan,sfc,
Unlicensed entities,,Smith Fairchild,sfc,
Unlicensed entities,,Godwynn International,sfc,
Unlicensed entities,2003-06-25,Ametron Consultants Ltd,sfc,www.amterontrader.com
Unlicensed entities,2003-06-25,Tradeline Group,sfc,www.tradelinegroup.com
Unlicensed entities,,Mercantile Capital Management Ltd,sfc,
Unlicensed entities,,Sterling Futures Ltd,sfc,
Unlicensed entities,,Sterling Futures Management Limited,sfc,
Unlicensed entities,,SteinMorgan International Ltd,sfc,
Unlicensed entities,,Pan Pacific Financial (HK) Limited,sfc,
Unlicensed entities,,Pan Pacific Financial Inc,sfc,
Unlicensed entities,,Caledrane Group Inc,sfc,
Unlicensed entities,,Banquedenationale Bank,sfc,
Unlicensed entities,,Transglobe Express Co,sfc,
Unlicensed entities,,Transglobe Group,sfc,
Unlicensed entities,,Drexel Asset Management,sfc,
Unlicensed entities,,Swiss Corps Inc,sfc,
Unlicensed entities,,Global Banking Corp,sfc,
Unlicensed entities,,Eurocentral Union,sfc,
Unlicensed entities,,Citi Express Banks Inc,sfc,
Unlicensed entities,,Origin Merchant Bank,sfc,
Unlicensed entities,,Maxuel Golding Associated Incorporated,sfc,
Unlicensed entities,,Kato Consultants Inc,sfc,
Unlicensed entities,2003-10-06,xinnic.com,sfc,www.xinnic.com
Unlicensed entities,,Merit Prime Capital,sfc,
Unlicensed entities,,De Verre Lloyd & Co Ltd,sfc,
Unlicensed entities,2003-10-29,Emmerson Bennett,sfc,www.emmersonbennett.net
Unlicensed entities,,Key Profit International Limited,sfc,
Unlicensed entities,,"Blaine & Thompson, S.A.",sfc,
Suspicious websites,2003-10-31,Pacific Asian Bank,sfc,www.pabbank.com
Unlicensed entities,,"Kennedy Investments, Ltd",sfc,
Unlicensed entities,,MartinMoss and Garcia,sfc,
Unlicensed entities,,Alliance and Dunbar,sfc,
Unlicensed entities,,Kerona Trading,sfc,
Unlicensed entities,,Ameri-Tech Industries Ltd,sfc,
Unlicensed entities,,Asian Investment Foundation Ltd,sfc,
Unlicensed entities,2003-11-27,Bernard Simpson Consultants,sfc,www.bernardsimpson.net
Unlicensed entities,,Oasis Capital Inc,sfc,
Suspicious websites,2003-12-16,"BOC Mutual Fund Management Co., Ltd",sfc,www.bocfund.com
