name,website,category,date,source
Expressfxt,www.expressfxt.com,,2023-11-14,fca
4SeasonsFX / FourSeasonsFX,www.fourseasonsfx.com,,2023-11-14,fca
Vitality Bank Corporation,www.vitalitybankcorporation.com,,2023-11-14,fca
FXPIPS,www.fxpips.live,,2023-11-14,fca
CryptoInsight,www.cryptoinsightltd.com,,2023-11-14,fca
Infinity Trust Bank,www.infinitytrustbank.com,,2023-11-14,fca
Universalgainfx,www.universalgainfx.com,,2023-11-14,fca
CRYPTO-BUNKER,www.crypto-bunker.online,,2023-11-14,fca
Oceanicearners,www.oceanicearners.com,,2023-11-14,fca
trustfarm.ltd,www.trustfarm.ltd,,2023-11-14,fca
City Trust Bank / City Trust Finance,https://citytrustfinance.com/,,2023-11-14,fca
"Exodus Movement, Inc. / https://www.exodus.com/",https://www.exodus.com/,,2023-11-14,fca
StiffelBank,https://stiffelbank.com,,2023-11-14,fca
California Business Trust Bank,https://thecbtb.co/,,2023-11-14,fca
First Premium Finance,https://firstpremiumfinance.com/,,2023-11-14,fca
City Money Bank / City Money Finance,https://citymoneyfinance.com/,,2023-11-14,fca
Firstel Finance Bank,https://secure.firstelfinan.com,,2023-11-14,fca
Sure Financial Gateway,https://surefinancialgateway.com,,2023-11-14,fca
The Citizen National Online Bank,https://tcnbholdings.com,,2023-11-14,fca
Icfx Signal Premium,https://bybitforex.com/,,2023-11-14,fca
ByBitForex,https://bybitforex.com/,,2023-11-14,fca
Coin Royal / coin-royal.com,www.coin-royal.com,,2023-11-14,fca
GENIUS FX TRADE,www.geniusfxtrade.live,,2023-11-14,fca
CRYPTOMETASTOCK,www.cryptometastock.com,,2023-11-14,fca
Refinefxtrading.Online,www.refinefxtrading.online,,2023-11-14,fca
AI TO FOREX LIMITED,https://aifxtec.com/,,2023-11-10,fca
Finalto Pro / finalto.pro (Clone of FCA Authorised Firm),https://finalto.pro/,,2023-11-10,fca
arise-income.net,www.arise-income.net,,2023-11-10,fca
RICH PRIME FINANCE / RICHPRIME FINANCE,www.richprimefinance.com,,2023-11-10,fca
stockworths.com,www.stockworths.com,,2023-11-10,fca
PU prime / Pacific Union (Seychelles) Limited,"https://puprime.com/, https://www.puprime.net",,2023-11-10,fca
RELIANCEWEALTHS,www.reliancewealths.com,,2023-11-10,fca
quaerocapital.pro / quaerocapital.trade (Clone of FCA Authorised Firm),"https://quaerocapital.pro/, https://quaerocapital.trade/",,2023-11-13,fca
FX HASH,https://fxhash.org/,,2023-11-13,fca
EagleUp Finance,https://eagleup.finance/,,2023-11-13,fca
Cryptoearningprofit,https://www.cryptoearningprofit.com/,,2023-11-13,fca
TradeCryptoMasters,www.tradecryptomasters.com,,2023-11-10,fca
CRYPTOMEGATRADES,https://cryptomegatrades.com/,,2023-11-13,fca
HerosFX,https://herosfx.com/,,2023-11-13,fca
ICT Market 24 / ictmarket24.com (Clone of FCA Authorised Firm),https://ictmarket24.com/,,2023-11-13,fca
kriptstamp.com,https://kriptstamp.com/,,2023-11-13,fca
Azura Capital,www.azura-cap.net,,2023-11-13,fca
XINLIMITED.COM,www.xinlimited.com,,2023-11-13,fca
The FluentMoney / Fluent Money Loan Lenders (Clone of FCA Authorised Firm),,,2023-11-13,fca
VINTAGE GLOBAL INVESTMENT,www.vintageglobalinvestment.com,,2023-11-13,fca
BTCMAXMINERS,www.btcmaxminers.com,,2023-11-13,fca
CUENA FX,www.cuenafx.com,,2023-11-13,fca
OKFX,www.okfx.online,,2023-11-13,fca
www.bambooloan.uk/ Bamboo Loans (Clone of FCA Authorised firm),www.bambooloan.uk,,2023-11-07,fca
GT Trader / gt-trader.com,www.gt-trader.com,,2023-11-07,fca
vaultexfx.com,https://vaultexfx.com/,,2023-11-08,fca
AW MARKETS UK Limited/AW Markets,https://awmarkets.com/,,2023-11-08,fca
Debt Support Group / debtsupportgroup.co.uk,https://debtsupportgroup.co.uk/,,2023-11-08,fca
Executive Execs / executiveexecs.com (Clone of FCA Authorised Firm),https://www.executiveexecs.com/,,2023-11-08,fca
acuratrade.info,https://acuratrade.info/,,2023-11-08,fca
kim-exshares.com,https://www.kim-exshares.com/,,2023-11-08,fca
MORGAN INVEST,www.morgan-invest.com,,2023-11-08,fca
MEGA STACK,"www.mega-stack.com, www.altrexcoinzap.com",,2023-11-08,fca
TRADERSPAYOUT,www.traderspayout.com,,2023-11-08,fca
WORLDMINEINSURED,www.worldmineinsured.org,,2023-11-08,fca
ESCOFINTEX,www.escofyntex.com,,2023-11-08,fca
BULLSTASHES,www.bullstashes.com,,2023-11-08,fca
CAPITAL EARNS,www.capital-earns.com,,2023-11-08,fca
FORTUNE-TRADERS.UK,www.fortune-traders.uk,,2023-11-08,fca
COINFLEX TRADING,https://coinflex-trading.ltd/,,2023-11-06,fca
BITINDEXCAPITAL,https://bitindexcapital.com,,2023-11-06,fca
Universe.co.com (Clone of FCA Authorised Firm),"www.universe.co.com, https://unified.ee/",,2023-11-08,fca
CRYPTONITE EXCHANGE,https://cryptoniteexchange.com/,,2023-11-06,fca
CoinmateTrade,www.coinmatetrade.com,,2023-11-07,fca
Krypto Apex FX / Kryptoapexfx LTD,www.kryptoapexfx.com,,2023-11-07,fca
Standardedcoins / standardedcoins.com,www.standardedcoins.com,,2023-11-07,fca
CryptoFxMarket,www.cryptofxmarket.digital,,2023-11-07,fca
Access VIPtrade Options24 LTD,www.accessviptradeoptions24.com,,2023-11-07,fca
PerfectFXOptionLive,www.perfectfxoptionlive.com,,2023-11-07,fca
Global Finance Plus LTD,www.globalfinanceplus.com,,2023-11-07,fca
Eliteoptionmax LTD,www.eliteoptionmax.com,,2023-11-07,fca
VIP Dex Trading Solutions,www.vipdextradingsolutions.org,,2023-11-07,fca
Cryptxpress,www.cryptxpress.com,,2023-11-07,fca
Real Trading Platforms,www.realtradingplatforms.vip,,2023-11-07,fca
Crypto Wealth Expert / www.cw-expert.co,https://www.cw-expert.co/#/,,2023-11-01,fca
Bright Start Debt Solutions,bright-start.co.uk,,2023-11-02,fca
VisioneasyFXpro,www.visioneasyfxpro.com,,2023-11-07,fca
