name,website,category,date,source
www.wilbysec.com,www.wilbysec.com,Suspicious websites,2023-11-13,sfc
www.minzhong.shop,www.minzhong.shop,Suspicious websites,2021-12-09,sfc
www.saxoapp.com ,www.saxoapp.com ,Suspicious websites,2021-12-13,sfc
www.blackwellqh.com,www.blackwellqh.com,Suspicious websites,2021-12-17,sfc
Hong Kong Selead Group Limited,https://hkselead.com,Unlicensed entities,2021-12-17,sfc
Jiaxing International Ltd / Jiaxing International Investment Co Ltd,www.jiaxinguk.com,Unlicensed entities,2021-11-19,sfc
HKD Group,www.hkdgroup.com,Unlicensed entities,2021-11-30,sfc
Wingkam Invest Limited / Wingkan Fortune / Wealth Group,www.wingkaminvest.com,Unlicensed entities,2021-12-08,sfc
http://yongqhcom1094.hk850.pc51.com and www.yongqh.com,http://yongqhcom1094.hk850.pc51.com and www.yongqh.com,Suspicious websites,2021-12-08,sfc
WestPointFX,www.westpointfx.com,Unlicensed entities,2021-12-23,sfc
www.yishengqh.com,www.yishengqh.com,Suspicious websites,2021-11-30,sfc
Baoyun Finance / BYJR ,www.byjrcf.com,Unlicensed entities,2021-12-08,sfc
www.nittanfu.com,www.nittanfu.com,Suspicious websites,2021-11-30,sfc
KUT inance Limited / KUT Markets,www.kutfxhk.com,Unlicensed entities,2021-12-29,sfc
Greenhill Asia,http://greenhill-asia.com,Unlicensed entities,2021-12-28,sfc
Tomahawk Finance Co Ltd,www.tomahafx.com,Unlicensed entities,2022-01-03,sfc
Eastleigh International Limited,,Unlicensed entities,,sfc
Sigama Capital Management,,Unlicensed entities,,sfc
Hudson International Group Limited,-,Unlicensed entities,2000-11-02,sfc
Dreyfus Capital,,Unlicensed entities,,sfc
The Brinton Group,,Unlicensed entities,,sfc
Oasis Resorts International,,Unlicensed entities,,sfc
The Kensington Group Limited,,Unlicensed entities,,sfc
Global Oriental,,Unlicensed entities,,sfc
Fisher Sterling International Limited,,Unlicensed entities,,sfc
Benson Dupont Capital Management Inc,,Unlicensed entities,,sfc
Transglobal Consultants Limited,,Unlicensed entities,,sfc
Fortune International Limited,,Unlicensed entities,,sfc
"International Asset Management Co, Ltd",,Unlicensed entities,,sfc
Banque Gerrarde Limited,,Unlicensed entities,,sfc
SCMART International Limited,,Unlicensed entities,,sfc
Berkeley Samson International,,Unlicensed entities,,sfc
Wizard Asset Management Limited,,Unlicensed entities,,sfc
The Pembridge Group,,Unlicensed entities,,sfc
Gimbel Rothschild,,Unlicensed entities,,sfc
Asia United International Ltd,,Unlicensed entities,,sfc
Allied Pacific Ventures Ltd,,Unlicensed entities,,sfc
Kearns Investments Inc,,Unlicensed entities,,sfc
Morgan Pacific,,Unlicensed entities,,sfc
Berlin Overseas Corporation,,Unlicensed entities,,sfc
Liberty Capital International Limited,,Unlicensed entities,,sfc
"Simmons, Blake and Fritch",,Unlicensed entities,,sfc
US Trading Associates Co Ltd,,Unlicensed entities,,sfc
Global Surveys,,Unlicensed entities,,sfc
e.go Trade Incorporated,,Unlicensed entities,,sfc
Royce Stanford Management Inc,,Unlicensed entities,,sfc
Allied International Investment Limited,,Unlicensed entities,,sfc
Financial Securities International Ltd,,Unlicensed entities,,sfc
Global Option Trading Co Ltd,,Unlicensed entities,,sfc
Foreign Currency International,,Unlicensed entities,,sfc
The Clearing House Group,,Unlicensed entities,,sfc
Imperial Asset Management Limited,,Unlicensed entities,,sfc
Western & Gulf Finance Corporation Limited,,Unlicensed entities,,sfc
Cogan Davis Associates Limited,,Unlicensed entities,,sfc
Westway Investments Limited,,Unlicensed entities,,sfc
"Cabrini Green & Ross, Inc",,Unlicensed entities,,sfc
The Georgian Group Ltd,,Unlicensed entities,,sfc
Equity-1 Limited,,Unlicensed entities,,sfc
"Asia United Capital & Partners, Co Ltd",,Unlicensed entities,,sfc
Vantage International Management Inc,,Unlicensed entities,,sfc
Vantage International Management Group Inc,,Unlicensed entities,,sfc
Gerrarde Financial Group Limited,,Unlicensed entities,,sfc
The Madison Group,,Unlicensed entities,,sfc
The Madina Capital Group,,Unlicensed entities,,sfc
Pfeiffer Galland Limited,,Unlicensed entities,,sfc
Crawford Peale Inc,,Unlicensed entities,,sfc
Sherman Brothers Management Ltd,,Unlicensed entities,,sfc
Wall Street Underground,,Unlicensed entities,,sfc
"Avid Investor, Inc",,Unlicensed entities,,sfc
Abacus Group Ltd,,Unlicensed entities,,sfc
A G Securities Limited,,Unlicensed entities,,sfc
KRD Europe Management LLC,,Unlicensed entities,,sfc
Commodity and Currency Global Co Ltd,,Unlicensed entities,,sfc
Morrison Cross Financial Investments Ltd,,Unlicensed entities,,sfc
Foreign Trade International,,Unlicensed entities,,sfc
Chartered Asset Management,,Unlicensed entities,,sfc
Clanvale Securities,,Unlicensed entities,,sfc
United Capital Management Inc,,Unlicensed entities,,sfc
Platinum Investment Services Ltd,,Unlicensed entities,,sfc
Uniworld Global Management Limited,,Unlicensed entities,,sfc
Harper Mills and Paige Inc,,Unlicensed entities,,sfc
Parkside Investments Limited,,Unlicensed entities,,sfc
Smythe Rutherford & Burns PLC,,Unlicensed entities,,sfc
MultiWeb Media Corporation,,Unlicensed entities,,sfc
Park International,,Unlicensed entities,,sfc
Primrose Trading Company Limited,,Unlicensed entities,,sfc
Preston Morgan & Associates,,Unlicensed entities,,sfc
Merit Capital Group,,Unlicensed entities,,sfc
ITB Limited,,Unlicensed entities,,sfc
Our World Exchange Limited,,Unlicensed entities,,sfc
Laverty Assets Limited,,Unlicensed entities,,sfc
Austral European Kft,,Unlicensed entities,,sfc
Waterman and Noble,,Unlicensed entities,,sfc
Wells International Investments Ltd,,Unlicensed entities,,sfc
Bowen Reece,,Unlicensed entities,,sfc
Central Capital Inc,,Unlicensed entities,,sfc
"Martinez & Mannheim, S.A.",,Unlicensed entities,,sfc
Rockwell & Bond S A,,Unlicensed entities,,sfc
Sukumo Group Japan,,Unlicensed entities,,sfc
First Chartered Capital,,Unlicensed entities,,sfc
Millennium Financial Ltd,,Unlicensed entities,,sfc
Smith Fairchild,,Unlicensed entities,,sfc
Mercantile Capital Management Ltd,,Unlicensed entities,,sfc
Sterling Futures Management Limited,,Unlicensed entities,,sfc
Sterling Futures Ltd,,Unlicensed entities,,sfc
Huge Forex Investments Ltd,,Unlicensed entities,,sfc
SteinMorgan International Ltd,,Unlicensed entities,,sfc
Pan Pacific Financial Inc,,Unlicensed entities,,sfc
